Model,Year,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Volume,Sales_Classification,Target
1,-0.2348756470873047,3,3,1,0.25054795430561116,0.887814484961012,0.9118166483209713,1.1315299790417008,0,1
10,-0.92861094418484,3,2,0,-1.632377103762032,0.3687168446805547,0.16095087648616238,-0.5739113492707095,1,4
1,1.1525949471077659,1,3,0,1.2415611427622655,-1.541504481457059,1.470513709736913,0.6743652879957222,1,4
6,1.6150851451727894,1,3,0,-1.5332757849163667,-1.2608048098966855,-0.5409495694152562,-0.35723068789439955,1,3
2,0.6901047490427424,0,0,1,-1.1368705095337048,0.3766559647566597,-0.9668671295569927,-0.6957285870073102,1,5
1,-0.0036305480547929366,4,0,1,-1.335073147225036,1.2263316614234547,-1.2350417190366447,-1.3426201253327072,1,3
10,1.1525949471077659,5,0,1,-1.4341744660707012,1.6643467231875178,-0.7681594518100217,1.0086625927039223,0,2
4,-0.6973658451523282,0,0,0,-1.632377103762032,0.3598284819866545,1.0671363546202879,-1.5526498455682256,1,1
6,-0.2348756470873047,5,0,0,-1.5332757849163667,-0.9015078495828723,1.594254050292857,1.3569618787611573,0,5
10,0.45885965001023066,5,1,1,-0.24495863992271602,-1.1150529206734099,0.8163092608169586,-0.229812657618185,1,2
0,-1.159856043217352,5,1,1,-0.8395665529967087,0.022226030228632628,1.6524508595129823,-1.5988563840200398,1,3
10,-0.2348756470873047,1,2,1,-1.335073147225036,0.28573578092857016,-0.01906304760517031,1.1147276014228593,0,4
2,0.6901047490427424,4,0,0,0.5478519108426073,-1.2582504843069822,0.960858903281751,1.0653706171675124,0,4
1,0.6901047490427424,5,1,1,-0.9386678718423742,1.0896752423743254,1.7098014494318234,-0.1398499274506379,1,0
5,-0.0036305480547929366,0,1,0,-1.632377103762032,0.13135441336170212,-1.5753757362076088,0.7783299995123037,0,1
3,-0.6973658451523282,4,2,1,-0.24495863992271602,0.9275446032549114,0.7678439735615998,0.9442534784983634,0,4
7,-0.92861094418484,1,1,1,-0.6413639153053777,0.16973833303400113,1.5312491768608905,0.17274430616655878,1,1
4,-0.0036305480547929366,3,0,0,-0.6413639153053777,-0.23139433828954803,0.2653820311673522,1.640852050612833,0,4
1,-0.0036305480547929366,4,1,1,-0.1458573210770505,-0.7328878427490768,1.3959310176828332,-0.0656394263007547,1,4
7,-1.159856043217352,1,1,1,0.5478519108426073,0.7237681016493204,0.293961164842536,0.7128707367055672,0,0
6,-0.4661207461198165,3,0,0,0.4487505919969422,0.40735964870316144,0.5022080419857999,1.2487965728398653,0,4
5,-0.6973658451523282,5,3,1,1.5388650992992616,-1.4970281500741838,-0.4651744774366397,-1.384276019846085,1,0
4,-1.3911011422498636,2,1,0,0.05234531661428013,-0.384274176624631,-0.9819067544116319,1.5106336240668117,0,2
2,-0.0036305480547929366,0,3,0,-0.04675600223138495,-0.7252076070232796,1.02917187960359,0.8588413922692526,0,4
7,0.9213498480752542,3,0,1,-1.0377691906880393,1.4613813925462245,-1.0580664915271958,0.4219795741793741,1,5
6,1.3838400461402778,5,1,0,0.8451558673796035,1.6239089876694437,0.39754610022244175,-0.1479010667263328,1,3
3,-0.4661207461198165,3,2,1,-1.2359718283793704,-1.0147093464941175,1.6104091460446432,1.3405095506760416,0,1
5,-1.3911011422498636,0,2,0,-0.04675600223138495,0.0765399669232032,1.2474195303074838,0.4947898771943538,1,4
4,0.9213498480752542,3,2,0,-0.24495863992271602,0.08378872873182082,-1.6523816926244568,1.5407378839672359,0,1
3,-0.6973658451523282,5,1,0,0.5478519108426073,-0.17302454677348902,-0.4225557962628797,-1.2698098223177274,1,1
10,-1.6223462412823755,0,2,0,1.4397637804535965,-1.4547091882772067,1.0454808334101553,-0.02153318505129582,1,5
10,0.9213498480752542,4,0,1,1.5388650992992616,-1.6761761204871621,-0.4022465330320627,-1.6170589597737848,1,5
4,0.45885965001023066,3,0,1,-1.1368705095337048,-0.0520047424829492,-0.8368955377825028,-0.34182850841046153,1,1
10,-0.4661207461198165,5,2,0,-0.8395665529967087,1.623857210799382,1.6829532188729024,-0.5893135287546475,1,1
5,1.1525949471077659,2,2,1,1.0433585050709344,0.7370574982984527,1.5923308246081205,-0.049537147749364956,1,3
4,0.9213498480752542,2,3,0,0.05234531661428013,-0.20650692274662755,1.2772295284208988,-0.17730522755930536,1,5
6,0.22761455097771885,5,3,1,-0.1458573210770505,-1.1552662897545505,-0.8584356654515511,1.0426173974753312,0,3
10,-1.6223462412823755,2,3,0,0.7460545485339384,-0.030948815324583746,-1.426479603695312,-0.9764683130554532,1,3
3,0.6901047490427424,0,3,1,0.3496492731512767,-0.3044342429897141,0.4505502000937786,-0.39853653287405155,1,0
7,0.6901047490427424,5,2,0,1.6379664181449276,0.5521450363519548,-1.524487184589482,0.7149710339079224,0,3
9,1.6150851451727894,3,3,0,0.25054795430561116,0.6152955588703639,-0.20988550004472192,-1.7133225815483972,1,3
4,0.45885965001023066,5,0,1,-0.1458573210770505,1.594430689647732,-1.456174208267643,0.30751337665101647,1,5
7,0.9213498480752542,3,0,1,0.15144663545994566,-0.010531469563644126,-0.5676054774057036,-0.7541868591395295,1,0
7,0.9213498480752542,0,3,0,1.0433585050709344,-0.9669883312540515,0.8162707963032639,0.8959466428441941,0,3
